,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
"Autauga County, Alabama",3694.707785327879,3633.515507700665,3553.1789721952778,3524.182580973922,3473.9622168262854,3444.259322591988,3391.3060149284997,4009.605327760276,4021.8257252794347,4042.491971018503,3952.636271524776
"Baldwin County, Alabama",11087.016403793259,11229.41180264348,11412.268716724973,11572.488479141579,11787.181428174306,12047.935354436642,12246.017047644385,14443.884607173772,14867.270708405882,15228.761702440632,15571.620012929745
"Barbour County, Alabama",1392.424573638577,1349.8966080227688,1344.737254722307,1349.416640566912,1327.566054856395,1343.670684363837,1299.5962457009748,1582.5131655524988,1562.761245003661,1572.6402832131994,1561.7296883869499
"Bibb County, Alabama",1245.2031004371884,1219.3530162115,1195.5559881722297,1177.1316490942068,1174.585317610178,1171.159092566775,1155.6143639220754,1338.3836943048866,1356.160675338934,1324.7103432315987,1317.5293314815826
"Blount County, Alabama",3493.279865250891,3445.912495853071,3401.2514326985047,3390.26612502081,3397.025290680795,3413.236598813174,3356.577083291276,3935.8795919843847,3946.4684882070082,3986.307079782871,3952.6060670158386
"Bullock County, Alabama",544.8246540389904,526.5469602893477,499.0570970006936,497.8172656303359,503.29659003833893,506.3628772707583,509.042546241414,625.6086972911114,634.3777729560236,638.8809469470414,632.7418158867284
"Butler County, Alabama",1186.3705206730892,1165.5464738503267,1157.1608369691294,1124.8715797800878,1139.5497442962578,1107.3271558505294,1085.703213642551,1242.1009348018945,1240.7296810119942,1242.0148887845749,1214.41188126954
"Calhoun County, Alabama",6894.731066699335,6826.952906013115,6773.492907264809,6745.723061161148,6727.7919757916425,6691.849893234842,6615.059590828641,8244.38266970214,8244.295474661663,8351.184360886697,8308.441736443652
"Chambers County, Alabama",1887.3888013409146,1838.6482846752008,1795.9203128294525,1746.886505506978,1721.103111613694,1727.1823467660638,1701.8522398778568,2107.4902864396286,2087.1693601674806,2083.223654045817,2047.7872160059665
"Cherokee County, Alabama",1424.1272495140965,1412.502042799501,1369.107469876982,1369.7340178939467,1380.2926758391627,1348.9899908344332,1341.5376084141694,1444.3374079964856,1453.6855299042097,1455.9775730258145,1428.6383377106972
"Chilton County, Alabama",2577.968561653852,2570.6228362694355,2585.5542815607423,2578.0351872189835,2607.4848006781444,2619.0433170603355,2650.905989284171,3091.2477047129755,3105.711472548433,3152.032094311417,3175.8515167514124
"Choctaw County, Alabama",776.715461799322,744.2795376928087,736.387197698313,707.6308225885211,692.8726814872839,674.8749489635579,656.1039799163046,757.389416713764,740.2333519040249,723.2414336690225,720.9728831510182
"Clarke County, Alabama",1620.0224842815214,1575.801400290279,1519.9284507227517,1456.74972088516,1413.0619004840614,1386.9585138941457,1316.8606868155252,1508.6760556626268,1470.7950902207076,1462.0391922525862,1473.0893495509365
"Clay County, Alabama",788.0473562680654,776.2488237743097,752.8784238784274,753.5983210894855,733.040927650886,709.8838634157889,685.0070219435679,869.3805413427827,876.0516070005633,874.1216294126856,847.6925085260485
"Cleburne County, Alabama",855.878834677664,857.9852517656424,866.9307679204908,872.2500959801779,855.6255323134365,858.2518619716234,829.6288027593675,958.0706779311411,972.568958810067,983.8927380630124,971.6646491645944
"Coffee County, Alabama",3067.266852916363,3045.4295750476003,3065.5470109119674,3099.7160416864485,3080.1852087246943,3103.7822521231146,3127.3259993872484,3648.763981079347,3729.7903860517,3781.635760246629,3792.2237846054963
"Colbert County, Alabama",3048.509170121773,2992.10291378592,2944.5088792964707,2914.8726322163957,2892.848785493991,2892.115580441179,2859.62638178947,3474.667804436548,3534.0110117326367,3565.1807494387704,3510.039554775916
"Conecuh County, Alabama",729.0681311755856,698.3786647569759,681.8740659678351,670.8621210175418,651.9045183493746,647.3717562440592,619.6819083145555,702.2217628577779,675.1114790765796,667.2413049034251,674.3715712663713
"Coosa County, Alabama",583.3264622779378,547.6909566305602,505.66959574320737,488.1917973787808,465.8612873905887,456.3424977639716,448.41016947694214,516.2302213208185,513.215716190442,494.8947544503207,463.9338988313197
"Covington County, Alabama",2066.592954821921,2063.2333769327406,2056.860829534519,2036.6767249268387,1978.8840350704295,1976.97758103421,1974.271253201865,2329.293616583512,2355.7433681686016,2354.597259124738,2327.031425782912
"Crenshaw County, Alabama",812.0976650824722,802.4322301274746,799.7125728642851,796.4729814417963,806.778337022785,797.52617919124,790.3270775461132,871.2605417229613,861.783951323152,860.1851254323442,860.436188531842
"Cullman County, Alabama",4612.672120622976,4588.688502140973,4571.850602813446,4613.858612680864,4610.752337155912,4627.590214894347,4615.111795071157,5621.142059038728,5729.271324414541,5821.842676651918,5830.628609429617
"Dale County, Alabama",2835.442735488436,2794.794521868977,2747.600478250318,2748.266992970725,2730.282611466934,2678.50246643049,2674.5296483660986,3236.1388593418283,3214.8243875147227,3214.8240844352986,3193.3484014168675
"Dallas County, Alabama",2740.6546357912366,2667.0239050442756,2616.0703142547363,2555.117944793633,2485.6734109500303,2420.1083675658165,2339.465211972825,2693.531315130018,2666.396323806084,2627.564395429326,2581.1605820007176
"DeKalb County, Alabama",4381.24803724402,4391.353429773249,4420.536368259157,4415.776941062212,4494.153769575274,4509.711806061727,4474.262912446173,5104.073595289421,5165.50171096452,5196.28658129259,5237.311954056818
"Elmore County, Alabama",4722.658254228371,4629.989965817268,4668.971719922982,4665.678746009841,4684.942968765615,4674.131008456171,4643.774864165038,5830.360122113996,5917.683718734765,5935.574470400867,5988.135918919826
"Escambia County, Alabama",2065.9263537451498,2031.6640385438482,2044.1557877978817,2049.555092442636,2024.1982835145582,1996.4817767233656,2015.7060327756958,2366.497054348671,2383.0194708251147,2386.051750940166,2380.5673212537226
"Etowah County, Alabama",6074.914473757893,5953.423076726409,5875.099587525818,5832.49155896858,5783.0311666808975,5660.246620555679,5535.502389027228,6543.774692309093,6519.659232975199,6502.950470996635,6384.938697746865
"Fayette County, Alabama",956.4261336524198,943.9077039476058,921.3505504568752,913.1115804931494,890.3144756581265,876.902844552185,859.6383602594524,1018.483875480744,1011.2024477666172,1000.9189067278162,980.7010714782306
"Franklin County, Alabama",1875.9502930145063,1851.0201122298163,1863.5652007963192,1906.999740422281,1906.7464380580536,1904.3200714516254,1889.3086279861607,2218.995062724881,2218.009630783192,2237.3762819770873,2257.2253695369354
"Geneva County, Alabama",1489.2523785022595,1461.7891956643853,1488.5457891329547,1473.4410396515786,1500.3309706067753,1506.6901453959706,1507.3967347652751,1686.7753213755527,1704.447287152574,1741.58540008023,1736.1152168931385
"Greene County, Alabama",529.3332862958506,495.96417249567617,480.1528336449953,477.17987401757847,461.8884693261972,451.5297744327395,442.19761842703645,480.87781464238697,478.2560490975104,460.47852357820665,475.78584155590676
"Hale County, Alabama",965.0383708579739,940.7747479718731,918.2442533428314,883.275327183134,859.8383017221203,843.6536956296112,819.5100807992931,976.141265726018,968.0576499979458,950.9104006158808,917.6139255631042
"Henry County, Alabama",967.0514819300405,954.9863392303034,948.2538540210983,941.1747388426629,932.7624646888675,924.6834910734575,914.6580751292943,1050.3215331578103,1059.654911973631,1072.7088133202699,1051.0479832439598
"Houston County, Alabama",6144.505911998967,6159.9973013311965,6159.530641717093,6117.695828094291,6093.885470624176,6096.271827348981,6069.088562558841,7002.2223150188,7043.734016879975,7023.950879415056,7034.77601782635
"Jackson County, Alabama",3009.5808200958013,2968.5593176454227,2948.8684235680803,2905.193889419644,2881.703524646162,2833.682905191506,2800.02047914548,3229.5362456441876,3267.113701548038,3255.3975310208903,3197.828083191023
"Jefferson County, Alabama",37840.16474260712,37554.13413512541,37555.61370194915,37478.49003423729,37474.51732411835,37485.60961266826,37361.065387369745,45350.26677722641,45762.25626702528,45987.17306827773,46158.3917069568
"Lamar County, Alabama",791.7402562847221,780.1150495701269,768.6631470456011,790.727025238721,791.2469809871117,782.9680227308522,759.5709639732809,873.0311433691614,872.1384109474653,881.4960969500911,874.8194556937311
"Lauderdale County, Alabama",5468.790582808568,5445.846789466983,5333.287665515868,5308.037470445455,5286.786817068396,5220.688488504948,5202.130833529389,6757.223378015668,6906.427837995274,7030.732545717006,6967.305101671479
"Lawrence County, Alabama",1872.884005782087,1845.4074719242774,1803.5860956777735,1798.8399979116734,1804.03936109376,1807.6789217979476,1821.5971792214352,2085.610595836277,2128.1566746870762,2145.221310300523,2123.550884382681
"Lee County, Alabama",10370.798534802689,10512.727274038809,10604.14240164871,10639.044659065095,10695.25099552737,10773.14796453003,10761.696083594596,15619.341829529485,15791.739632280107,15896.341392095837,16629.16983603775
"Limestone County, Alabama",5190.786041411619,5330.688404912098,5404.785665738616,5511.612098150227,5531.089699744968,5635.383238048849,5779.48510629444,6846.659436258808,7014.99021757743,7155.167149936526,7334.681728730142
"Lowndes County, Alabama",619.1486447244114,596.4315164744557,570.5147850945448,564.9154742198501,549.4240848876193,526.3603482575247,513.2553372391886,644.0268117097833,620.1602678314865,614.389396817948,592.8493846911691
"Macon County, Alabama",1399.0100680939468,1318.820177916941,1279.5451331544666,1253.721729379558,1209.407317783313,1162.5065864105054,1133.0969828329692,1661.8453040638942,1608.0029956087624,1575.291294499065,1552.661987437425
"Madison County, Alabama",21212.166279953173,21064.944828340875,21073.343751474735,21070.224103340755,21331.924548727595,21439.2310997187,21454.28257465488,26587.04710846634,27026.494434203563,27605.241120962986,27763.47019133163
"Marengo County, Alabama",1246.709542013527,1187.9169721310525,1146.4688631263773,1110.1400975405397,1104.9674148092329,1076.7043365861425,1086.3964519919202,1256.9006541833294,1237.4287527136407,1222.3362140834129,1187.8555833704158
"Marion County, Alabama",1655.9913768236484,1676.9753768165447,1661.137335925993,1658.5243141095598,1642.7929734330369,1627.2349369465837,1606.4908882979792,1811.4825289516443,1810.1011293577246,1829.18795764643,1804.965112082724
"Marshall County, Alabama",5674.884947902952,5671.858648963067,5707.70749027123,5775.392301763358,5830.83868795477,5869.7405086535955,5867.687430878088,6837.6378803391435,6982.163139974808,7098.270430499615,7145.797638485037
"Mobile County, Alabama",25388.667217716284,24926.085574807992,24644.57420569894,24525.922430808245,24317.64214700081,24275.72744314931,24009.334476788837,28301.049328857243,28328.100914903967,28261.35314211031,28058.866466102878
"Monroe County, Alabama",1447.5375729352395,1398.2504416594463,1383.4256318148955,1336.7648517863802,1294.436849222331,1256.8682738552263,1202.5817856272872,1319.8954940446129,1296.5570307493167,1281.8733960622776,1321.8191327757013
"Montgomery County, Alabama",13945.482391070165,13651.586167222922,13467.835879027574,13433.053543310609,13332.71960158573,13388.6058805841,13353.490352274206,16016.550886277288,16098.706814372046,16141.84175936147,16072.350714467795
"Morgan County, Alabama",7026.874665171947,6933.246463438219,6935.459429616589,6935.9793637758885,6887.918756028701,6893.758061425869,6875.080441572709,8201.055685834359,8251.357623741002,8319.707859625696,8301.907481026094
"Perry County, Alabama",778.4751193835245,760.9573327265646,737.5202856764599,713.0167114460671,691.0461392688585,658.6102367514362,641.3057425770793,636.1657136280561,618.0563866419078,596.0022383226377,683.1155906423687
"Pickens County, Alabama",1122.7918647319802,1107.2204556365007,1120.8987185375142,1094.7153337734403,1083.3834177156061,1050.867517024026,1035.3494904191969,1161.8024607149173,1130.8908314192015,1143.364228033382,1116.8819744947573
"Pike County, Alabama",2315.8011112274535,2192.816623639568,2257.9950271729276,2255.968586670016,2219.773180159896,2178.991693821083,2193.189912470487,3206.726392998186,3185.8430304287185,3246.7387633043445,3309.0255371469243
"Randolph County, Alabama",1410.0489309750203,1368.0808878110454,1360.5884955091574,1346.4302651522871,1332.0320834511244,1304.622218336628,1282.9982977177406,1429.5337054940283,1456.6949937798468,1482.1086263931286,1425.9431417713863
"Russell County, Alabama",3441.699704855296,3367.0957745330493,3291.3586266981106,3243.6846156235943,3244.7378349621285,3276.160549611732,3296.944651320143,3892.6850912972836,3886.5112359967725,3935.708231405693,3895.233450452824
"St. Clair County, Alabama",4815.55329408747,4746.322009548288,4797.648889168747,4874.385873851568,4902.915648637005,4933.538511079572,4976.586432443771,5809.754333960798,5932.354458254535,6005.675932606994,6068.109722139939
"Shelby County, Alabama",12815.252013076039,12926.384672035882,13105.282011127467,13260.715644307253,13326.80072979622,13360.263214379578,13474.382097630409,15718.198758078872,15921.425829012333,16030.569705863352,16292.428090045123
"Sumter County, Alabama",910.8450807004915,883.9818086069838,864.6642249496513,835.1079544546433,817.7901524385328,795.8862490046376,772.9424772521435,1087.82856745065,1045.4249206798156,1047.2761623355796,1027.6188821797118
"Talladega County, Alabama",4778.291230862516,4749.7748070970165,4655.813261646722,4629.763192780184,4530.4690114284485,4584.715511363855,4536.468291584842,5211.22845898714,5047.644782671143,5068.234358321846,5031.440697231533
"Tallapoosa County, Alabama",2267.634256637145,2248.5432948932603,2178.9253920923156,2132.2912709254892,2127.905175737645,2088.2702147532777,2043.9558031570325,2443.2977117171213,2445.2924452075144,2421.714646567548,2373.5202129396052
"Tuscaloosa County, Alabama",13466.967890019045,13563.662271039735,13556.556389054156,13558.436141050506,13499.72361252037,13411.441548831655,13468.19443513674,20114.860052796575,21311.775830127026,21548.10266839913,22308.348141836064
"Walker County, Alabama",3733.2362308394245,3697.7340410895827,3630.729116926889,3585.6814570996507,3505.53159839336,3468.1896449397027,3459.070781416603,4129.907594986401,4121.582692983386,4120.507259498255,4049.3230283418106
"Washington County, Alabama",1098.648228312571,1070.9583803830676,1069.5718820952384,1050.560940114602,1019.9514502810597,999.0607563040747,976.263629879961,999.3702686137437,985.6497324406439,984.3574559886895,1025.439272251024
"Wilcox County, Alabama",810.8844925738033,787.2607903136939,779.981690494409,749.0122412607919,708.7239870414074,689.6730567682378,653.9708823775466,731.7945511556536,701.1271347431335,669.3327454845657,728.1761572213946
"Winston County, Alabama",1351.6963618449597,1316.2874781110295,1299.5029180959723,1305.128844654174,1296.5032780177755,1267.2003098869952,1243.8565904418926,1426.650911317545,1457.8925044423645,1456.291395326013,1424.9493903654377
"Aleutians East Borough, Alaska",97.17441324382172,87.44230954551061,82.50959974758702,75.52381217415423,76.32370755937032,72.16423428497384,61.64556463229111,125.1796731667651,124.86880669066869,116.81133578714223,117.15020911689881
"Aleutians West Census Area, Alaska",209.8268863890297,198.85492973126998,184.07012976834375,178.2841852727351,184.51006575348532,169.33864752879558,163.9526723148859,215.12087562431665,207.90381827754652,206.8222917910233,196.6360906623537
"Anchorage Municipality, Alaska",17980.320983912232,17634.5912109488,17230.69550247623,17152.98531821812,16918.388204214534,16624.012056089618,16343.767393103517,20441.046712938085,20313.665838945082,20262.634007218225,19991.417069799147
"Bethel Census Area, Alaska",1457.789675560123,1437.8988400201124,1446.5377360873556,1452.0303683371123,1453.536831502542,1449.1907246072317,1449.0040909863176,1692.1533234950352,1696.5969205805386,1659.1748718924207,1691.055416999676
"Bristol Bay Borough, Alaska",57.2461184245116,51.68681743144147,45.32762105315523,45.60758227907178,38.10186054633941,35.11557148807806,29.27630926909138,43.195883533771216,42.77230455933608,45.5434815950587,43.38735493244329
"Denali Borough, Alaska",99.96073925032451,95.01470002155642,91.01520150638498,94.80138594986242,95.57462247338952,90.74856971131294,96.46784546360811,84.85340287079075,82.61514511178501,80.27609023554336,91.13277025849897
"Dillingham Census Area, Alaska",388.2843974409253,367.7136529823904,361.7544042967122,344.7832106607408,332.0648179041683,335.01111866989606,325.07905191982644,387.31180505075673,381.7480395639639,367.80415743775956,358.6616116843884
"Fairbanks North Star Borough, Alaska",5683.683775551239,5568.97818145234,5498.093788419348,5485.428691797062,5422.943329843386,5363.084232780623,5218.729083759896,7078.62772729278,7085.248426636841,7016.945208893849,7053.568392975533
"Haines Borough, Alaska",135.83621783108515,134.91633597917755,127.51727128229217,123.74441626965924,121.59801088914752,124.22434054733432,126.18409071784109,119.13530564724739,110.88910873955086,100.75793501569777,122.48030328549358
"Hoonah-Angoon Census Area, Alaska",97.9209909056598,92.33503105090065,100.4940028404686,99.17417329595291,97.21442312544619,94.36144996472085,93.8681746671103,116.85711282099139,109.1226279566354,103.26093228470495,108.380273859551
"Juneau City and Borough, Alaska",1883.229328066518,1871.7907333837459,1814.3846617891002,1783.361894832105,1766.9506452370576,1751.5392540789849,1712.3975252140465,2002.9082721257332,1993.7445591849362,1964.132396321092,1934.6977080416948
"Kenai Peninsula Borough, Alaska",3353.6840138925627,3308.529718618568,3297.917742949973,3289.852120354499,3247.190860430246,3210.622143500116,3234.019202257688,3732.1775628609266,3746.51175721776,3812.785483779163,3749.6901514421274
"Ketchikan Gateway Borough, Alaska",782.8613441059141,775.1423298905787,772.3959921766094,758.2911011322079,771.2228079604744,761.5306925546968,762.9838379967485,882.842461844069,857.5741198583482,846.4311651862889,856.7158327356751
"Kodiak Island Borough, Alaska",901.3130911775754,868.3705623426072,835.6280181484883,813.3375180419207,793.64666714276,774.0891321411352,731.4145211969468,897.8563862684196,875.5464499881363,853.5472440626353,822.9427968680194
"Kusilvak Census Area, Alaska",726.8150903483177,735.1340368971106,735.2673527946467,709.0706601888193,700.9783571425647,693.2193330456049,706.0577122688687,820.1246383850107,819.8677614534845,800.570319320662,803.4229294000145
"Lake and Peninsula Borough, Alaska",108.81294938926156,110.06613177955468,105.0001060840951,99.17417329595291,100.98727813807912,95.93458187346403,100.61398930716008,112.46005106552528,105.01151294454705,98.81457554905799,103.68753494024222
"Matanuska-Susitna Borough, Alaska",6471.304633210461,6487.516006110114,6620.299266139625,6830.419529541779,6972.068415497434,6988.2930314715695,7002.464548081101,7862.331847217097,8141.388462289252,8259.70249057756,8402.023981813369
"Nome Census Area, Alaska",740.0800977149697,745.2794393079653,749.4389125823619,754.0516728618352,750.4254631775829,762.5706040514779,754.3983028310654,888.5635746526502,879.9335296557975,876.555839184385,892.6799976641223
"North Slope Borough, Alaska",512.282137663903,511.18895162192575,524.5739238661783,531.4130661112306,553.3302989759702,549.2508238757316,569.7815584526421,749.8727036413916,762.7497943649633,753.4404504933193,801.1576095592686
"Northwest Arctic Borough, Alaska",584.8729785031738,585.2195868833129,576.7539950061393,588.7924788441873,585.486240267476,583.8997789278883,579.2337225141275,693.1685216054466,692.1209344612872,689.30645817027,696.2319599201538
"Petersburg Borough, Alaska",186.22986457969998,173.5381306848165,177.08434219491096,172.56490952043993,166.8722926298338,153.2340180213537,152.28747730775703,197.4753853461658,194.2165992719366,195.2486346043205,185.96452819701753
"Prince of Wales-Hyder Census Area, Alaska",393.39043301800933,385.93802900865495,375.8059776177358,361.83440247087015,359.2214022435279,366.5804786478797,358.32820084240024,353.79424227258073,352.94419656026554,357.5472148193203,344.53099111042735
"Sitka City and Borough, Alaska",501.3368398678322,480.6327795117614,481.87261088211903,488.2318072604053,482.4858726464211,487.17863110005254,467.34113487251125,512.310583955031,523.3677568443861,526.8117686134269,516.6912893869028
"Skagway Municipality, Alaska",28.75637510979182,26.30334964167454,23.570362947640717,26.809954370129592,31.835991773055657,32.2226100348192,31.582689408828134,41.24323221485792,40.72250056187213,38.78264941260347,43.39138793273473
"Southeast Fairbanks Census Area, Alaska",422.1334786969567,415.14771271261475,401.42943992997675,399.82962757045345,404.8023256609106,394.4303013366085,376.5925435721074,426.7601364406221,447.4947372890181,449.3424706274108,431.9639719865449
